Country,Gender,Situation,State(Counties of Kenya),Type of location,Nationality,Type of publication
Sudan,Female,In captivity,Mombasa,Refugee/IDP Camp,Ethiopia,Situation Report
Uganda,Male,En route,Kwale,Human Trafficking/Smuggling Camp,Eritrea,Article
Kenya,Other,Other,Kilifi,,Sudan,
Ethiopia,,,Tana River,,Kenya,
Khartoum,,,Lamu,,Uganda,
Khartoum 2,,,Taita-Taveta,,,
El Geneina,,,Garissa,,,
Khartoum North,,,Wajir,,,
Khartoum Al Kalakla,,,Mandera,,,
Dar Al Salaam,,,Marsabit,,,
Wad Madani,,,Isiolo,,,
Sharaf,,,Meru,,,
Al-Mazroub,,,Tharaka-Nithi,,,
Abu Karinka,,,Embu,,,
Umm Rakouba,,,Kitui,,,
Adila,,,Machakos,,,
El Daein,,,Makueni,,,
Al-Mazroub,,,Nyandarua,,,
Nyala,,,Nyeri,,,
Ardamata,,,Kirinyaga,,,
West Darfur,,,Murang'a,,,
Kadugli,,,Kiambu,,,
Kassala,,,Turkana,,,
Halfa algadeda,,,West Pokot,,,
Jabal awliya,,,Samburu,,,
El-Gadarif,,,Trans-Nzoia,,,
Al Jazirah,,,Uasin Gishu,,,
New Halfa,,,Elgeyo-Marakwet,,,
Alhawashat,,,Nandi,,,
Soba Gharb,,,Baringo,,,
Sharg An Neel,,,Laikipia,,,
Al-Fashir,,,Nakuru,,,
Gambela,,,Narok,,,
Other,,,Kajiado,,,
,,,Kericho,,,
,,,Bomet,,,
,,,Kakamega,,,
,,,Vihiga,,,
,,,Bungoma,,,
,,,Busia,,,
,,,Siaya,,,
,,,Kisumu,,,
,,,Homa Bay,,,
,,,Migori,,,
,,,Kisii,,,
,,,Nyamira,,,
,,,Nairobi,,,